brand,model,engine_type,fuel,transmission,km,price,year,type
Volkswagen,GOLF,1.5 TSI,Petrol,Manual,42016.0,459000,2022.0,autojarov
Volkswagen,VW,1.6 TDI,Diesel,Manual,129749.0,229900,2014.0,autojarov
Renault,CLIO,0.9 TCE,Petrol,Manual,126172.0,189900,2019.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,28617.0,399900,2023.0,autojarov
Škoda,SCALA,1.0 TSI,Petrol,Manual,73436.0,354900,2023.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,27892.0,960000,2024.0,autojarov
Volkswagen,Tiguan,1.5 ETSI,Petrol,Automatic,0.0,873500,2026.0,autojarov
Volkswagen,Passat,2.0 TDI,Diesel,Automatic,0.0,1319900,2026.0,autojarov
Volkswagen,T-Cross,1.0 TSI,Petrol,Automatic,0.0,658900,2026.0,autojarov
Volkswagen,Golf,1.0 TSI,Petrol,Manual,110706.0,379900,2022.0,autojarov
Volkswagen,Tayron,1.5 ETSI,Petrol,Automatic,0.0,998000,2026.0,autojarov
Volkswagen,GOLF,1.5 TSI,Petrol,Manual,114835.0,419900,2023.0,autojarov
Škoda,KODIAQ,2.0 TDI,Diesel,Automatic,142321.0,749900,2022.0,autojarov
Citroën,CITROEN,1.6 HDI,Diesel,Manual,97767.0,184900,2015.0,autojarov
Škoda,KAMIQ,1.5 TSI,Petrol,Automatic,17004.0,598000,2025.0,autojarov
Škoda,OCTAVIA,2.0 TDI,Diesel,Automatic,19204.0,719000,2025.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,29919.0,599000,2024.0,autojarov
Audi,Q7,,Diesel,Automatic,0.0,1845000,2026.0,autojarov
Škoda,OCTAVIA,1.5 TSI,Petrol,Automatic,39329.0,629900,2023.0,autojarov
Škoda,FABIA,1.0 TSI,Petrol,Manual,151344.0,269900,2021.0,autojarov
Volkswagen,ID.,,Electric,Automatic,67103.0,419900,2021.0,autojarov
