brand,model,engine_type,fuel,transmission,km,price,year,type
Škoda,KODIAQ AMBITION 110 kW 4x4,2.0 TDI,nafta,Manual,179574.0,469900,2019.0,autojarov
Škoda,OCTAVIA AMBITION 110 kW,1.4 TSI,benzín,Manual,230817.0,219900,2018.0,autojarov
Škoda,FABIA COMBI AMBIENTE FL / 63 kW,1.2 TSI,benzín,Manual,245073.0,79900,2012.0,autojarov
Škoda,OCTAVIA RS 195 kW DSG,2.0 TSI,benzín,Automatic,0.0,1123700,2026.0,autojarov
Škoda,SCALA SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,559300,2026.0,autojarov
Škoda,SCALA SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,559300,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,602100,2026.0,autojarov
Škoda,KAMIQ SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,674800,2026.0,autojarov
Škoda,Kamiq Classic 85 kW 6-stup. mech,1.0 TSI,benzín,Manual,0.0,594800,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,584300,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,584300,2026.0,autojarov
Škoda,OCTAVIA STYLE 110 kW,1.5 TSI,benzín,Manual,52595.0,539900,2022.0,autojarov
Škoda,SUPERB L&K 147 kW DSG,2.0 TDI,nafta,Automatic,352465.0,369900,2021.0,autojarov
Volkswagen,Golf Variant Style DSG 110 KW,1.5 TSI,benzín,Automatic,30085.0,619900,2024.0,autojarov
Volkswagen,GOLF VARIANT LIFE 6G,1.5 TSI,benzín,Manual,55166.0,499900,2023.0,autojarov
SEAT,Leon SP FR 1.5 TSI 130k,1.5 TSI,benzín,Manual,57755.0,489900,2021.0,autojarov
Volkswagen,Passat Alltrack 4MOT DSG,2.0 TDI,nafta,Automatic,149982.0,429900,2017.0,autojarov
Škoda,OCTAVIA COMBI SELECTION 110 kW D,2.0 TDI,nafta,Automatic,13995.0,679900,2024.0,autojarov
Volkswagen,Tiguan Life 110 kW,1.5 TSI,benzín,Manual,61940.0,539900,2021.0,autojarov
Škoda,KODIAQ SELECTION 142 kW DSG 4x4,2.0 TDI,nafta,Automatic,18446.0,1135000,2025.0,autojarov
Škoda,ELROQ 50 125 kW ESSENCE,,elektro,Automatic,1625.0,749900,2025.0,autojarov
Škoda,KAMIQ SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,694700,2026.0,autojarov
Škoda,KAMIQ SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,694700,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,644700,2026.0,autojarov
Škoda,KAMIQ SELECTION 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,644700,2026.0,autojarov
Škoda,KAROQ SPORTLINE 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,945000,2026.0,autojarov
Škoda,KAROQ SPORTLINE 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,951000,2026.0,autojarov
Škoda,KAROQ SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,805900,2026.0,autojarov
Škoda,KAROQ SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,805900,2026.0,autojarov
Škoda,KAROQ SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,825900,2026.0,autojarov
Škoda,KAROQ SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,825900,2026.0,autojarov
Škoda,KAROQ SELECTION 110 kW DSG,2.0 TDI,nafta,Automatic,0.0,941900,2026.0,autojarov
Škoda,KAROQ SELECTION 110 kW DSG 4x4,2.0 TDI,nafta,Automatic,0.0,1035900,2026.0,autojarov
Škoda,KAMIQ SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,634200,2026.0,autojarov
Škoda,KAMIQ SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,614300,2026.0,autojarov
Škoda,KAMIQ SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,614300,2026.0,autojarov
Škoda,OCTAVIA COMBI SELECTION 110 kW D,2.0 TDI,nafta,Automatic,0.0,954300,2026.0,autojarov
Škoda,OCTAVIA COMBI SELECTION 110 kW D,2.0 TDI,nafta,Automatic,0.0,954300,2026.0,autojarov
Škoda,OCTAVIA COMBI SPORTLINE 110 kW D,2.0 TDI,nafta,Automatic,0.0,996300,2026.0,autojarov
Škoda,OCTAVIA COMBI SPORTLINE 110 kW D,2.0 TDI,nafta,Automatic,0.0,996300,2026.0,autojarov
Škoda,OCTAVIA SPORTLINE 110 kW DSG,2.0 TDI,nafta,Automatic,0.0,958300,2026.0,autojarov
Škoda,OCTAVIA SELECTION 110 kW DSG,2.0 TDI,nafta,Automatic,0.0,950800,2026.0,autojarov
Škoda,OCTAVIA SELECTION 110 kW DSG,2.0 TDI,nafta,Automatic,0.0,950800,2026.0,autojarov
Škoda,OCTAVIA SELECTION 110 kW DSG,2.0 TDI,nafta,Automatic,0.0,927800,2026.0,autojarov
Škoda,OCTAVIA SELECTION 110 kW DSG,2.0 TDI,nafta,Automatic,0.0,927800,2026.0,autojarov
Škoda,OCTAVIA COMBI SPORTLINE 110 kW D,2.0 TDI,nafta,Automatic,0.0,984800,2026.0,autojarov
Škoda,OCTAVIA SELECTION 85 kW,2.0 TDI,nafta,Manual,0.0,770300,2026.0,autojarov
Škoda,OCTAVIA SELECTION 85 kW,2.0 TDI,nafta,Manual,0.0,770300,2026.0,autojarov
Škoda,OCTAVIA SELECTION 85 kW,2.0 TDI,nafta,Manual,0.0,770300,2026.0,autojarov
Škoda,KAMIQ MONTE CARLO 85 kW DSG,1.0 TSI,benzín,Automatic,0.0,694700,2026.0,autojarov
Škoda,SCALA SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,687000,2026.0,autojarov
Škoda,SCALA SELECTION 110 kW DSG,1.5 TSI,benzín,Automatic,0.0,680700,2026.0,autojarov
Škoda,SCALA SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,589300,2026.0,autojarov
Škoda,SCALA SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,589300,2026.0,autojarov
Škoda,SCALA SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,589300,2026.0,autojarov
Škoda,SCALA SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,629700,2026.0,autojarov
Škoda,SCALA SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,629700,2026.0,autojarov
Škoda,SCALA SELECTION 110 kW,1.5 TSI,benzín,Manual,0.0,629700,2026.0,autojarov
Škoda,FABIA SELECTION 70 kW,1.0 TSI,benzín,Manual,0.0,448600,2026.0,autojarov
Škoda,FABIA SELECTION 70 kW,1.0 TSI,benzín,Manual,0.0,455200,2026.0,autojarov
Škoda,FABIA SELECTION 70 kW,1.0 TSI,benzín,Manual,0.0,455200,2026.0,autojarov
CUPRA,Formentor VZ5 2.5 TSI 390k DSG 4WD,2.5 TSI,benzín,Automatic,0.0,1761700,2026.0,autojarov
CUPRA,Formentor VZ5 2.5 TSI 390k DSG 4WD,2.5 TSI,benzín,Automatic,0.0,1794200,2026.0,autojarov
Volkswagen,Passat Variant R-Line DSG,1.5 TSI,benzín,Automatic,136394.0,499900,2021.0,autojarov
Škoda,OCTAVIA STYLE 85 kW,2.0 TDI,nafta,Manual,155297.0,379900,2021.0,autojarov
Volkswagen,Golf Variant ME SCR 7DSG,1.6 TDI,nafta,Automatic,70108.0,399900,2019.0,autojarov
Škoda,FABIA COMBI AMBITION 70 kW,1.0 TSI,benzín,Manual,171562.0,259900,2022.0,autojarov
Škoda,FABIA COMBI AMBITION 70 kW,1.0 TSI,benzín,Manual,149075.0,269900,2022.0,autojarov
SEAT,Tarraco Style 150k 6M,1.5 TSI,benzín,Manual,111840.0,449900,2019.0,autojarov
Volkswagen,TAYRON R-LINE PEOPLE 110 KW MHEV,1.5 ETSI,benzín,Automatic,26758.0,1199900,2025.0,autojarov
Škoda,OCTAVIA COMBI SELECTION 110 kW,1.5 TSI,benzín,Manual,4800.0,675000,2025.0,autojarov
Volkswagen,"GOLF 1,6 75kW TRENDLINE",,benzín,Manual,244312.0,69900,2007.0,autojarov
